Command,Link,Description,Preprocessed_Description
show ip nexthop-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-nexthop-ls.htm,"This command displays the next hop list settings for policy-based routing. A next hop IP is the IP address of a adjacent router or device with layer-2 connectivity to the Gateway. The next hop list provides redundancy for the next hop devices by forwarding the traffic to a backup next hop device in case of failures. If active next hop device on the list becomes unreachable, traffic matching a policy-based routing ACL is forwarded using the highest-priority active next hop on the list.",show ip nexthop-list next hop list settings routing next hop ip ip address adjacent router device connectivity gateway next hop list provides redundancy next hop devices forwarding traffic backup next hop device case failures active next hop device list becomes unreachable traffic matching routing acl forwarded using active next hop list
show ip oap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-oap.htm,This command displays OAP information.,show ip oap oap information
show ip oap advertise,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-advert.htm,"This command displays the received configuration from the Mobility Conductor. Issue this command to view the entire configuration saved on the gateway, including all profiles, ACLs, and interface settings.",show ip oap advertise received configuration mobility conductor issue view entire configuration saved gateway including profiles acls interface settings
show ip oap advertise verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-advert-verb.htm,This command displays the advertised IP OAP tunnels information that can be used for debugging.,show ip oap advertise verbose advertised ip oap tunnels information used debugging
show ip oap hub-mesh nexthops,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-nxthops.htm,This command displays information about the hub-mesh nexthops.,show ip oap hub-mesh nexthops information nexthops
show ip oap hub-mesh nodes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-nodes.htm,This command displays information about the hub-mesh nodes.,show ip oap hub-mesh nodes information nodes
show ip oap hub-mesh topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-msh-topo.htm,This command displays information about the hub-mesh topology.,show ip oap hub-mesh topology information topology
show ip oap route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-route.htm,This command displays information about an Overlay Agent Protocol route.,show ip oap route information overlay agent protocol route
show ip oap route all verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-route-all-verb.htm,This command displays information about all the Overlay Agent Protocol routes.,show ip oap route all verbose information overlay agent protocol routes
show ip oap tunnel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-oap-tnl.htm,This command displays information about the Overlay Agent Protocol tunnel.,show ip oap tunnel information overlay agent protocol tunnel
show ip ospf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf.htm,This command display statistics and configuration information for the OSPF routing protocol for a gateway.,show ip ospf display statistics configuration information ospf routing protocol gateway
show ip ospf database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-db.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a gateway.,show ip ospf database statistics configuration information ospf routing protocol gateway
show ip ospf interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-interface.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a gateway interface.,show ip ospf interface statistics configuration information ospf routing protocol gateway interface
show ip ospf neighbor,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-ospf-neighbor.htm,This command displays the statistics and configuration information for the OSPF routing protocol for a neighbor gateway.,show ip ospf neighbor statistics configuration information ospf routing protocol neighbor gateway
show ip pim group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pim-group.htm,This command displays the multicast group membership table.,show ip pim group multicast group membership table
show ip pim statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pim-statistics.htm,This command displays the multicast PIM statistics in a Gateway device.,show ip pim statistics multicast pim statistics gateway device
show ip pppoe-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-pppoe-info.htm,This command displays the configuration settings for PPPoE.,show ip pppoe-info configuration settings pppoe
show ip prefix-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-prefix.htm,This command displays the information about a prefix list or prefix list entries for the Gateways.,show ip prefix-list information prefix list prefix list entries gateways
show ip probe,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-probe.htm,"This command displays the health-check profile settings for measuring WAN reachability and latency on a gateway uplink, and the default probe profile settings for PBR using next-hop lists.",show ip probe profile settings measuring wan reachability latency gateway uplink default probe profile settings pbr using lists
show ip radius source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-radius.htm,This command displays the global parameters for configured RADIUS servers and the source interface address of outgoing RADIUS requests for a gateway.,show ip radius source-interface global parameters configured radius servers source interface address outgoing radius requests gateway
show ip-reputation,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-rep.htm,This command displays the IP reputation status.,show ip-reputation ip reputation status
show ip rip,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip.htm,This command displays the statistics and configuration information of the Routing Information Protocol (RIP) for a gateway.,show ip rip statistics configuration information routing information protocol rip gateway
show ip rip interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip-intrfc.htm,This command displays the RIP interface information from a specified gateway.,show ip rip interface rip interface information specified gateway
show ip rip neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-rip-nghbrs.htm,This command displays the RIP neighbor information from a specified gateway.,show ip rip neighbors rip neighbor information specified gateway
show ip route,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-route.htm,This command displays the Mobility Master routing table with static routes configured on the Mobility Master.,show ip route mobility master routing table static routes configured mobility master
show ip route counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ip-route-counter.htm,"This command displays the number of routes present in a gateway, categorized by type.",show ip route counters number routes present gateway categorized type
show ip vrf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ip-vrf.htm,This command displays information on Virtual Routing and Forwarding (VRF) instances running on the Gateway.,show ip vrf information virtual routing forwarding vrf instances running gateway
show ipv6 dhcp database,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ipv6-dhcp-dbs.htm,This command displays the DHCPv6 server settings.,show ipv6 dhcp database dhcpv6 server settings
show ipv6 firewall,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ipv6-firewall.htm,This command displays the status of all the IPv6 firewall configurations available in a gateway.,show ipv6 firewall status ipv6 firewall configurations available gateway
show ipv6 global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-v6-global.htm,This command displays IPv6 global config information on a gateway.,show ipv6 global ipv6 global config information gateway
show ipv6 interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-v6-interface.htm,This command displays the usability status of all interfaces configured for IPv6 on a gateway.,show ipv6 interface usability status interfaces configured ipv6 gateway
show ipv6 mld config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-v6-mld-config.htm,This command displays the Multicast Listener Discovery (MLD) configuration details of a gateway.,show ipv6 mld config multicast listener discovery mld configuration details gateway
